theta1,theta2,x,y
-90.0,-120.0,-8.6602540378,-5.0
-90.0,-119.0,-8.7461970714,-5.1519037975
-90.0,-118.0,-8.8294759286,-5.3052843721
-90.0,-117.0,-8.9100652419,-5.4600950026
-90.0,-116.0,-8.987940463,-5.6162885321
-90.0,-115.0,-9.0630778704,-5.7738173826
-90.0,-114.0,-9.1354545764,-5.9326335692
-90.0,-113.0,-9.2050485345,-6.0926887151
-90.0,-112.0,-9.2718385457,-6.2539340658
-90.0,-111.0,-9.335804265,-6.4163205045
-90.0,-110.0,-9.3969262079,-6.5797985667
-90.0,-109.0,-9.455185756,-6.7443184554
-90.0,-108.0,-9.510565163,-6.9098300563
-90.0,-107.0,-9.5630475596,-7.0762829528
-90.0,-106.0,-9.6126169594,-7.2436264418
-90.0,-105.0,-9.6592582629,-7.411809549
-90.0,-104.0,-9.7029572628,-7.580781044
-90.0,-103.0,-9.7437006479,-7.7504894566
-90.0,-102.0,-9.7814760073,-7.9208830918
-90.0,-101.0,-9.8162718345,-8.0919100462
-90.0,-100.0,-9.8480775301,-8.2635182233
-90.0,-99.0,-9.876883406,-8.4356553496
-90.0,-98.0,-9.9026806874,-8.6082689904
-90.0,-97.0,-9.9254615164,-8.7813065659
-90.0,-96.0,-9.9452189537,-8.9547153673
-90.0,-95.0,-9.9619469809,-9.1284425725
-90.0,-94.0,-9.9756405026,-9.3024352626
-90.0,-93.0,-9.9862953475,-9.4766404376
-90.0,-92.0,-9.9939082702,-9.651005033
-90.0,-91.0,-9.9984769516,-9.8254759356
-90.0,-90.0,-10.0,-10.0
-90.0,-89.0,-9.9984769516,-10.1745240644
-90.0,-88.0,-9.9939082702,-10.348994967
-90.0,-87.0,-9.9862953475,-10.5233595624
-90.0,-86.0,-9.9756405026,-10.6975647374
-90.0,-85.0,-9.9619469809,-10.8715574275
-90.0,-84.0,-9.9452189537,-11.0452846327
-90.0,-83.0,-9.9254615164,-11.2186934341
-90.0,-82.0,-9.9026806874,-11.3917310096
-90.0,-81.0,-9.876883406,-11.5643446504
-90.0,-80.0,-9.8480775301,-11.7364817767
-90.0,-79.0,-9.8162718345,-11.9080899538
-90.0,-78.0,-9.7814760073,-12.0791169082
-90.0,-77.0,-9.7437006479,-12.2495105434
-90.0,-76.0,-9.7029572628,-12.419218956
-90.0,-75.0,-9.6592582629,-12.588190451
